t_s,left_rpm,right_rpm,center_speed_mps,encoder_speed_fit_mps,imu_accel_mps2,encoder_accel_raw_mps2,imu_accel_fit_mps2,imu_accel_calibrated_fit_mps2,encoder_accel_fit_mps2,fitted_accel_mps2
1.48,59,59,0.20080013,0.19353759,-0.23,-0.15315264,-0.09455777,-0.034752948,0.022426851,-0.0061630486
1.49,54,54,0.18378317,0.19405665,-0.126,0.085084801,-0.093177008,-0.033607013,0.027319461,-0.0031437761
1.5,50,54,0.17697639,0.19460052,0.115,1.7763568e-15,-0.093303663,-0.033712128,0.030677956,-0.001517086
1.51,59,59,0.20080013,0.1951486,-0.242,-1.7763568e-15,-0.094669795,-0.034845921,0.031931088,-0.0014574166
1.52,59,59,0.20080013,0.19571828,-0.106,0.15315264,-0.096799568,-0.03661348,0.03053194,-0.0030407703
1.53,59,59,0.20080013,0.19630632,0.144,0.15315264,-0.099395524,-0.038767939,0.026281983,-0.0062429778
1.54,54,54,0.18378317,0.19686355,-0.117,0,-0.10167342,-0.040658429,0.019715908,-0.010471261
1.55,54,59,0.19229165,0.19731429,0.001,0,-0.10312301,-0.04186149,0.01188377,-0.01498886
1.56,59,59,0.20080013,0.19757686,-0.382,0.1701696,-0.10361,-0.042265652,0.0041010353,-0.019082308
1.57,59,59,0.20080013,0.19769314,-0.093,0.32332224,-0.10278328,-0.041579534,-0.0026675883,-0.022123561
1.58,59,59,0.20080013,0.19772288,0.061,0.068067841,-0.10074062,-0.03988427,-0.007990408,-0.023937339
1.59,59,59,0.20080013,0.19764663,-0.233,-0.1701696,-0.097403709,-0.037114874,-0.012083877,-0.024599376
1.6,63,59,0.20760691,0.19741905,0.017,-0.085084801,-0.093127222,-0.033565695,-0.015282034,-0.024423865
1.61,54,59,0.19229165,0.19701305,-0.039,0,-0.088571495,-0.029784765,-0.01784718,-0.023815973
1.62,54,59,0.19229165,0.1964646,-0.564,-0.068067841,-0.083536778,-0.025606309,-0.019857169,-0.022731739
